Title,Description,Links,"Publication Date"
"Экс-премьер Франции Фийон отверг обвинения в связях с Россией метафорой о торговле паштетом","Бывший премьер-министр Франции Франсуа Фийон выступил на заседании парламентской комиссии, которая расследует его предполагаемые связи с Россией. Он все обвинения отверг и заявил, что «не получил ни копейки денег» от Москвы, сообщает Le Figaro.",https://www.kommersant.ru/doc/5967287,"Wed, 03 May 2023 12:09:53 +0300"
"В Краснодарском крае арестованы подозреваемые в убийстве двоих сотрудников ивент-агентства","Трое жителей Краснодарского края задержаны по подозрению в убийстве сотрудников ивент-агентства Кирилла Чубко и Татьяны Мостыко, пропавших в ночь на 29 апреля на автотрассе М-4 «Дон». Об этом сообщило краевое следственное управление СКР.",https://www.kommersant.ru/doc/5967267,"Wed, 03 May 2023 11:50:06 +0300"
"Правительство упростило оформление Fan ID для пенсионеров, детей и инвалидов","Правительство упростило процедуру оформления карты болельщика (Fan ID) для детей младше 14 лет, инвалидов и пенсионеров, сообщила пресс-служба кабмина. В марте оптимизировать процедуру поручил президент России Владимир Путин.",https://www.kommersant.ru/doc/5967277,"Wed, 03 May 2023 11:45:28 +0300"
"В Госдуму внесены поправки для проведения выборов в новых регионах при военном положении","В Госдуму внесены поправки, корректирующие федеральный конституционный закон о военном положении. Они нужны для того, чтобы обеспечить проведение выборов в Донецкой и Луганской народных республиках (ДНР и ЛНР), Запорожской и Херсонской областях даже в условиях военного положения, объяснил один из авторов законодательной инициативы председатель комитета Госдумы по госстроительству Павел Крашенинников.",https://www.kommersant.ru/doc/5967275,"Wed, 03 May 2023 11:41:39 +0300"
"В Москве задержали подозреваемых в нападении на баскетболиста Шведа","Полиция задержала троих подозреваемых в нападении на защитника баскетбольного клуба ЦСКА Алексея Шведа. Возбуждено уголовное дело по ч.",https://www.kommersant.ru/doc/5967271,"Wed, 03 May 2023 11:41:07 +0300"
"Жертвами стрельбы в белградской школе стали 9 человек","По меньшей мере 9 человек погибли после того как подросток открыл стрельбу в школе в Белграде, еще семеро ранены, сообщает издание «Вечерне новости». Стрелок задержан, по предварительным данным, он действовал в состоянии наркотического опьянения.",https://www.kommersant.ru/doc/5967272,"Wed, 03 May 2023 11:37:53 +0300"
"Доллар опускался ниже 79 рублей","Курс доллара на Мосбирже опускался ниже 79 руб. впервые с 4 апреля. По данным на 11:34 мск, он стоил 78,9 руб., потом немного вырос — до 79,02 руб.",https://www.kommersant.ru/doc/5967270,"Wed, 03 May 2023 11:36:27 +0300"
"NASA показало сравнительные размеры черных дыр","NASA представило новое видео, в котором сравнило Солнце и Солнечную систему с размерами черных дыр. Самая массивная черная дыра имеет 66 млрд масс Солнца и находится от нас на расстоянии около 10 млрд световых лет.",https://www.kommersant.ru/doc/5967257,"Wed, 03 May 2023 11:29:50 +0300"
"Глава МИД Турции Чавушоглу: проблема продления зерновой сделки — в неисполнении требований России","Возможности продления зерновой сделки зависят от учета требований России, заявил глава МИД Турции Мевлют Чавушоглу. По его словам, сейчас стопроцентной гарантии продления сделки нет, но ведется «серьезная работа», и «есть надежды на успех».",https://www.kommersant.ru/doc/5967263,"Wed, 03 May 2023 11:29:29 +0300"
"Президент Ирана прибыл в Дамаск впервые с начала гражданской войны в Сирии","Президент Ирана Ибрахим Раиси прибыл в Дамаск с официальным визитом, сообщило агентство САНА. Иранский лидер намерен перевести развернутые переговоры с президентом Сирии Башаром Асадом.",https://www.kommersant.ru/doc/5967262,"Wed, 03 May 2023 11:27:29 +0300"
"Цена Brent опустилась ниже $75 за баррель впервые с 27 марта","Стоимость июльского фьючерса на нефть марки Brent на бирже ICE снижалась на 0,8%, до $74,71 за баррель. Она опустилась ниже $75 впервые с 27 марта.",https://www.kommersant.ru/doc/5967248,"Wed, 03 May 2023 11:12:47 +0300"
"Власти ЮАР могут предоставить иммунитет главам зарубежных стран от ордера МУС на арест","Правительство ЮАР рассматривает включение в национальное законодательство Римского статута Международного уголовного суда (МУС), сообщил министр юстиции и исправительных учреждений ЮАР Рональд Ламола. Это позволит принять специальную оговорку, позволяющую обеспечивать иммунитет главам государств от решений МУС.",https://www.kommersant.ru/doc/5967234,"Wed, 03 May 2023 11:11:06 +0300"
"В бета-версии WhatsApp для Windows теперь можно слушать голосовые сообщения вне чата","Мессенджер WhatsApp выпустил новую бета-версию для Windows, в которой появился ряд новых функций. Среди нововведений — возможность слушать голосовые сообщения вне чата и менять обои для переписок.",https://www.kommersant.ru/doc/5967235,"Wed, 03 May 2023 11:06:21 +0300"
"В Белграде семиклассник открыл стрельбу в школе","Подросток открыл стрельбу в школе в центре Белграда. Как сообщает сербская газета «Вечерние новости», убит охранник.",https://www.kommersant.ru/doc/5967242,"Wed, 03 May 2023 10:55:53 +0300"
"МИД Турции подтвердил закрытие воздушного пространства страны для армянских самолетов","Глава МИД Турции Мевлют Чавушоглу подтвердил, что страна закрыла воздушное пространство для Армении для полетов в третьи страны. Об этом он заявил в эфире телеканала NTV.",https://www.kommersant.ru/doc/5967241,"Wed, 03 May 2023 10:54:32 +0300"
"Прощание с Вячеславом Зайцевым пройдет 4 мая","Прощание с модельером Вячеславом Зайцевым состоится завтра, 4 мая, в подмосковном городе Щелково. Церемония начнется в 12:00 в cоборе Троицы Живоначальной.",https://www.kommersant.ru/doc/5967232,"Wed, 03 May 2023 10:51:05 +0300"
"Все задержанные за попытку покушения на Аксенова арестованы","УФСБ по Крыму сообщило, что Киевский районный суд Симферополя арестовал шестерых граждан, задержанных по подозрению в подготовке покушения на главу республики Сергея Аксенова и других представителей власти. Их также подозревают в организации терактов.",https://www.kommersant.ru/doc/5967237,"Wed, 03 May 2023 10:50:06 +0300"
"Аксенов поблагодарил ФСБ за предотвращение покушения на него","Глава Крыма Сергей Аксенов выразил благодарность ФСБ, которая рассказала о пресечении деятельности агентов разведки Украины, планировавших покушения на господина Аксенова и еще нескольких крымских чиновников. Глава Крыма в очередной раз назвал Украину террористическим государством, а также пообещал найти заказчиков.",https://www.kommersant.ru/doc/5967217,"Wed, 03 May 2023 10:29:21 +0300"
"Обвиняемый в растлении ребенка приморский депутат вновь направлен в СИЗО","Девятый кассационный суд общей юрисдикции сегодня удовлетворил жалобу прокуратуры и отменил решение Приморского краевого суда по уголовному делу депутата законодательного собрания Приморья, бывшего первого секретаря Владивостокского горкома КПРФ Артема Самсонова. Материалы направлены на новое апелляционное рассмотрение, а сам политик, для которого в феврале крайсуд смягчил меру пресечения на домашний арест, вновь заключен под стражу в СИЗО.",https://www.kommersant.ru/doc/5967177,"Wed, 03 May 2023 10:25:36 +0300"
"Задержанный ФСБ рассказал детали подготовки покушения на Аксенова","Завербованные украинской разведкой крымчане передавали друг другу оборудование для слежки за представителями власти республики и готовящихся терактов через Avito, заявил на допросе один из задержанных ФСБ, Сергей Кривошеин. По его словам, он покупал в магазине GPS-трекеры, затем выкладывал их на площадку, где их выкупал другой агент.",https://www.kommersant.ru/doc/5967216,"Wed, 03 May 2023 10:23:06 +0300"
"«Ведомости»: закрытым из-за военной операции аэропортам втрое сократили субсидии","Субсидии закрытым аэропортам юга России в 2023 году снизились в три раза, сообщают «Ведомости» со ссылкой на источники. В 2022 году на поддержку 11 аэропортов направили около 7,5 млрд руб.",https://www.kommersant.ru/doc/5967175,"Wed, 03 May 2023 10:20:24 +0300"
